"Time (s)","Position 1 (m)","Velocity 1 (m/s)","Acceleration 1 (m/s²)","Position 2 (m)","Velocity 2 (m/s)","Acceleration 2 (m/s²)"
0.05,0.282289,0.00495444444444,-0.0410541358025,-0.0032585,0.000952777777777,-0.0278952160494
0.1,0.282632,0.00276305555556,-0.0354856790123,-0.003087,-0.00109569444444,-0.0106922839506
0.15,0.282632,0.000800333333333,-0.0244228703704,-0.00343,-0.00142916666667,0.0121796759259
0.2,0.282632,0.000190555555556,-0.0113592283951,-0.00343,0.00142916666667,0.0136300154321
0.25,0.282632,0,-0.00615070987654,-0.003087,0.00114333333333,-0.0139476080247
0.3,0.282632,0,-0.0253756481481,-0.0032585,-0.000190555555555,-0.0715641975309
0.35,0.282632,0,-0.145775,-0.0032585,-0.000381111111111,-0.304094907407
0.4,0.282632,-0.00419222222222,-0.55393441358,-0.003087,-0.0147680555556,-0.876767283951
0.45,0.282632,-0.0317275,-1.43149567901,-0.0032585,-0.0679330555556,-1.7622154321
0.5,0.282632,-0.129291944444,-2.54407546296,-0.005145,-0.207515,-2.26226496914
0.55,0.275086,-0.323658611111,-2.8681257716,-0.02401,-0.347096944444,-1.74533009259
0.6,0.2481605,-0.479818888889,-1.95446481481,-0.0447615,-0.397308333333,-0.864487037037
0.65,0.221235,-0.525075833333,-0.823676388889,-0.0649985,-0.412362222222,-0.315845833333
0.7,0.194481,-0.532031111111,-0.208181944444,-0.086093,-0.414934722222,-0.0823094135802
0.75,0.16807,-0.528791666667,0.00439336419753,-0.106673,-0.414363055556,-0.0330825617284
0.8,0.141659,-0.526600277778,0.0447805555556,-0.1274245,-0.415601666667,-0.0476388888889
0.85,0.1154195,-0.524599444444,0.083050462963,-0.147833,-0.422366388889,-0.0102688271605
0.9,0.08918,-0.5222175,0.250898148148,-0.170128,-0.420841944444,0.0954365740741
0.95,0.063112,-0.511641666667,0.730939351852,-0.1905365,-0.408360555556,0.123649382716
1,0.037387,-0.473435277778,1.65555725309,-0.2104305,-0.404263611111,0.0777043209877
1.05,0.011662,-0.35329,2.61230493827,-0.230839,-0.402643888889,0.0775984567901
1.1,-0.0018865,-0.163877777778,2.62723179012,-0.250733,-0.401405277778,0.227502160494
1.15,-0.0005145,-0.0447805555556,1.72383966049,-0.27097,-0.392258611111,0.671814197531
